decision,company,role,url,source,track,work_model,location,posted_relative,fetched_at,suggested_lane,suggested_cluster,confidence,reason,evidence_basis,grad_display_hint,user_confirm
later,Abbott,Staff Software Test Engineer,https://jobright.ai/jobs/info/6a72646bcb96192a3684ddce,jobright_matches,,,,,2026-08-04T22:24:58+00:00,broad,cloud_swe,medium,"[fit_priority] Related or adjacent role, but seniority, specialization, timing, or target fit is weaker/unclear from the available board fields.",board_fields,n/a,
later,Acclaim Technical Services,Data Engineer (2026-0179),https://jobright.ai/jobs/info/6a7264a8e2b7476e7b21329b,jobright_matches,,,,,2026-08-04T22:24:58+00:00,broad,data_ml,medium,"[fit_priority] Related or adjacent role, but seniority, specialization, timing, or target fit is weaker/unclear from the available board fields.",board_fields,n/a,
later,Acima,Senior Software Engineer,https://jobright.ai/jobs/info/6a72656ccb96192a3684de0c,jobright_matches,,,,,2026-08-04T22:24:58+00:00,broad,cloud_swe,medium,"[fit_priority] Related or adjacent role, but seniority, specialization, timing, or target fit is weaker/unclear from the available board fields.",board_fields,n/a,
later,BIP US,"Data Quality Analyst, Capital Markets",https://jobright.ai/jobs/info/6a72663ccb96192a3684de36,jobright_matches,,,,,2026-08-04T22:24:58+00:00,broad,data_ml,medium,"[fit_priority] Related or adjacent role, but seniority, specialization, timing, or target fit is weaker/unclear from the available board fields.",board_fields,n/a,
later,Dairy Farmers of America,Sr. Systems Engineer - AI,https://jobright.ai/jobs/info/6a7264b902d93145bf894837,jobright_matches,,,,,2026-08-04T22:24:58+00:00,broad,data_ml,medium,"[fit_priority] Related or adjacent role, but seniority, specialization, timing, or target fit is weaker/unclear from the available board fields.",board_fields,n/a,
later,Discord,"Senior Software Engineer, Growth",https://jobright.ai/jobs/info/6a72655045b6af1c30dbe82d,jobright_matches,,,,,2026-08-04T22:24:58+00:00,broad,cloud_swe,medium,"[fit_priority] Related or adjacent role, but seniority, specialization, timing, or target fit is weaker/unclear from the available board fields.",board_fields,n/a,
skip,HP,Customer Data Privacy Product Owner,https://jobright.ai/jobs/info/6a1637dba429fd279da96c10,jobright_matches,,,,,2026-08-04T22:24:58+00:00,practice,data_ml,high,"[non_target_role] Board title/requirements are outside SWE, data, ML, or AI infrastructure targets.",board_fields,n/a,
later,Infosys,.NET PL/SQL Developer,https://jobright.ai/jobs/info/6a726646e2b7476e7b2132f5,jobright_matches,,,,,2026-08-04T22:24:58+00:00,broad,cloud_swe,medium,"[fit_priority] Related or adjacent role, but seniority, specialization, timing, or target fit is weaker/unclear from the available board fields.",board_fields,n/a,
later,KIPP SoCal Public Schools,Data Analyst,https://jobright.ai/jobs/info/6a72663ccb96192a3684de37,jobright_matches,,,,,2026-08-04T22:24:58+00:00,broad,data_ml,medium,"[fit_priority] Related or adjacent role, but seniority, specialization, timing, or target fit is weaker/unclear from the available board fields.",board_fields,n/a,
later,LeanData,Senior Full-Stack Engineer,https://jobright.ai/jobs/info/6a725a2ee2b7476e7b212f89,jobright_matches,,,,,2026-08-04T22:24:58+00:00,broad,cloud_swe,medium,"[fit_priority] Related or adjacent role, but seniority, specialization, timing, or target fit is weaker/unclear from the available board fields.",board_fields,n/a,
later,PepsiCo,Enterprise Data Operations Senior Analyst,https://jobright.ai/jobs/info/6a72651071acd469eeda7d9c,jobright_matches,,,,,2026-08-04T22:24:58+00:00,broad,data_ml,medium,"[fit_priority] Related or adjacent role, but seniority, specialization, timing, or target fit is weaker/unclear from the available board fields.",board_fields,n/a,
later,Zoox,Platform Engineer,https://jobright.ai/jobs/info/6a72661aee751e0c79348c03,jobright_matches,,,,,2026-08-04T22:24:58+00:00,broad,cloud_swe,medium,"[fit_priority] Related or adjacent role, but seniority, specialization, timing, or target fit is weaker/unclear from the available board fields.",board_fields,n/a,
