decision,company,role,url,source,track,work_model,location,posted_relative,fetched_at,suggested_lane,suggested_cluster,confidence,reason,evidence_basis,grad_display_hint,user_confirm,apply_url,apply_url_confidence,apply_ats,apply_matched_title,apply_resolve_evidence
later,Age of Learning,"Senior Data Analyst, User Acquisition",https://jobright.ai/jobs/info/6a6a245fc63ba56308f51747,jobright_matches,,,,,2026-09-08T22:02:17+00:00,broad,data_ml,low,"fit_priority: senior/lead title without intern/new-grad signal — related, not a keep.",board_fields,program_end,,,,,,
later,Applied Materials,Data Scientist,https://jobright.ai/jobs/info/6a690b725d01972698ee6142,jobright_matches,,,,,2026-09-08T22:02:17+00:00,broad,data_ml,low,"fit_priority: in-scope SWE/data/ML but no clear 2027 intern or early-career keep signal. work_model/location blank — evidence incomplete, not assumed remote.",board_fields,program_end,,,,,,
later,CentralReach,Sr. Web Developer,https://jobright.ai/jobs/info/6a8e040dd34f700f87fd7795,jobright_matches,,,,,2026-09-08T22:02:17+00:00,broad,cloud_swe,low,"fit_priority: in-scope SWE/data/ML but no clear 2027 intern or early-career keep signal. work_model/location blank — evidence incomplete, not assumed remote.",board_fields,program_end,,,,,,
later,Chemistry Agency,Full Stack Developer,https://jobright.ai/jobs/info/6a8e03fed34f700f87fd778b,jobright_matches,,,,,2026-09-08T22:02:17+00:00,broad,cloud_swe,low,"fit_priority: in-scope SWE/data/ML but no clear 2027 intern or early-career keep signal. work_model/location blank — evidence incomplete, not assumed remote.",board_fields,program_end,,,,,,
later,Cisco,Software Consulting Engineer I (Intern) United States,https://jobright.ai/jobs/info/6aa08480500b01124c779910,jobright_matches,,,,,2026-09-08T22:02:17+00:00,broad,cloud_swe,low,intern_ok: internship on a US site but term year is missing or the SWE/ML signal is weaker than the 2027 keep set. Prefer later.,board_fields,program_end,,,,,,
later,Docusign,Software Engineer,https://jobright.ai/jobs/info/6aa0847d5b2d5633ef3bf1fb,jobright_matches,,,,,2026-09-08T22:02:17+00:00,broad,cloud_swe,low,"fit_priority: in-scope SWE/data/ML but no clear 2027 intern or early-career keep signal. work_model/location blank — evidence incomplete, not assumed remote.",board_fields,program_end,,,,,,
later,International Rescue Committee,Software Developer/Analyst,https://jobright.ai/jobs/info/6aa084b8500b01124c77993a,jobright_matches,,,,,2026-09-08T22:02:17+00:00,broad,cloud_swe,low,"fit_priority: in-scope SWE/data/ML but no clear 2027 intern or early-career keep signal. work_model/location blank — evidence incomplete, not assumed remote.",board_fields,program_end,,,,,,
skip,NORC at the University of Chicago,Leave Specialist - Hybrid Chicago Loop Office,https://jobright.ai/jobs/info/6aa0847f5b2d5633ef3bf1ff,jobright_matches,,,,,2026-09-08T22:02:17+00:00,,,high,non_target_role: title is outside SWE/data/ML/AI infra targets.,board_fields,n/a,,,,,,
skip,Simple Modern,Website Intern Summer 2027,https://jobright.ai/jobs/info/6aa0842ba2266b538d230e04,jobright_matches,,,,,2026-09-08T22:02:17+00:00,,,high,non_target_role: title is outside SWE/data/ML/AI infra targets.,board_fields,n/a,,,,,,
later,Tata Consultancy Services,Java Full Stack Developer,https://jobright.ai/jobs/info/6aa085b53b5aa83237b09ade,jobright_matches,,,,,2026-09-08T22:02:17+00:00,broad,cloud_swe,low,"fit_priority: in-scope SWE/data/ML but no clear 2027 intern or early-career keep signal. work_model/location blank — evidence incomplete, not assumed remote.",board_fields,program_end,,,,,,
later,Thomas Jefferson University,Lead Data Engineer,https://jobright.ai/jobs/info/6aa06e5a3b5aa83237b09103,jobright_matches,,,,,2026-09-08T22:02:17+00:00,broad,data_ml,low,"fit_priority: senior/lead title without intern/new-grad signal — related, not a keep.",board_fields,program_end,,,,,,
keep,Advanced Space,2027 Machine Learning Summer Internship,https://jobright.ai/jobs/info/6a8ca88025fc4e7ae3db9adf,intern_list,internship_if_eligible,On Site,"Westminster, CO",3 hours ago,2026-09-08T22:02:41+00:00,core,data_ml,medium,"intern_ok + fit_priority: 2027 Summer ML intern, US on-site.",board_fields,program_end,,https://job-boards.greenhouse.io/advancedspace/jobs/4324875009,exact,greenhouse,2027 Machine Learning Summer Internship,title overlap 1.00 on greenhouse board 'advancedspace' (17 postings)
skip,American Express,"Campus Graduate Masters Summer Internship Program - 2027 AI Engineer, Enterprise Technology Services- New York, NY",https://jobright.ai/jobs/info/6a8384e6379c304e892f7e55,intern_list,internship_if_eligible,Hybrid,"New York, NY",4 hours ago,2026-09-08T22:02:41+00:00,,,high,"hard_gate: Campus Graduate Masters Summer Internship 2027 — prior-run confirmed exclusive graduation window December 2027–June 2028, which matches neither program end 2026-12-18 nor commencement March 2027. Do not keep from title year 2027 alone.",board_fields,n/a,,,,,,
skip,American Express,"Campus Graduate Masters Summer Internship Program - 2027 AI Engineer, Enterprise Technology Services- Phoenix, AZ",https://jobright.ai/jobs/info/6a839b311081a745e9710649,intern_list,internship_if_eligible,Hybrid,"Phoenix, AZ",4 hours ago,2026-09-08T22:02:41+00:00,,,high,"hard_gate: Campus Graduate Masters Summer Internship 2027 — prior-run confirmed exclusive graduation window December 2027–June 2028, which matches neither program end 2026-12-18 nor commencement March 2027. Do not keep from title year 2027 alone.",board_fields,n/a,,,,,,
skip,American Express,"Campus Graduate Masters Summer Internship Program - 2027 AI Engineer, Enterprise Technology Services- Sunrise, FL",https://jobright.ai/jobs/info/6a837a573eeac101cfaa0329,intern_list,internship_if_eligible,Hybrid,"Phoenix, AZ; Sunrise, FL",4 hours ago,2026-09-08T22:02:41+00:00,,,high,"hard_gate: Campus Graduate Masters Summer Internship 2027 — prior-run confirmed exclusive graduation window December 2027–June 2028, which matches neither program end 2026-12-18 nor commencement March 2027. Do not keep from title year 2027 alone.",board_fields,n/a,,,,,,
later,American Express,"Campus Undergraduate Summer Internship Program - 2027 AI Engineer, Enterprise Technology Services- Atlanta, GA",https://jobright.ai/jobs/info/6a8384d49b859b227766f77d,intern_list,internship_if_eligible,Hybrid,"Phoenix, AZ; Atlanta, GA",3 hours ago,2026-09-08T22:02:41+00:00,practice,data_ml,medium,traditional_student_coop + intern_ok: 2027 AI Engineer intern but the program is explicitly Undergraduate. Related; do not ingest unless promoted.,board_fields,program_end,,,,,,
later,American Express,"Campus Undergraduate Summer Internship Program - 2027 AI Engineer, Enterprise Technology Services- New York, NY",https://jobright.ai/jobs/info/6a83846c9b859b227766f749,intern_list,internship_if_eligible,Hybrid,"Phoenix, AZ",6 hours ago,2026-09-08T22:02:41+00:00,practice,data_ml,medium,traditional_student_coop + intern_ok: 2027 AI Engineer intern but the program is explicitly Undergraduate. Related; do not ingest unless promoted.,board_fields,program_end,,,,,,
later,American Express,"Campus Undergraduate Summer Internship Program - 2027 AI Engineer, Enterprise Technology Services- Phoenix, AZ",https://jobright.ai/jobs/info/6a839b0a2dbaf907b0769e26,intern_list,internship_if_eligible,Hybrid,"Phoenix, AZ",4 hours ago,2026-09-08T22:02:41+00:00,practice,data_ml,medium,traditional_student_coop + intern_ok: 2027 AI Engineer intern but the program is explicitly Undergraduate. Related; do not ingest unless promoted.,board_fields,program_end,,,,,,
later,American Express,"Campus Undergraduate Summer Internship Program - 2027 AI Engineer, Enterprise Technology Services- Sunrise, FL",https://jobright.ai/jobs/info/6a839b0a2dbaf907b0769e25,intern_list,internship_if_eligible,Hybrid,"New York, NY",3 hours ago,2026-09-08T22:02:41+00:00,practice,data_ml,medium,traditional_student_coop + intern_ok: 2027 AI Engineer intern but the program is explicitly Undergraduate. Related; do not ingest unless promoted.,board_fields,program_end,,,,,,
later,American Fidelity,Agentic AI Internship (OKC Local Only),https://jobright.ai/jobs/info/6a8376c03eeac101cfaa0149,intern_list,internship_if_eligible,On Site,"Oklahoma City, OK",5 hours ago,2026-09-08T22:02:41+00:00,broad,data_ml,low,intern_ok: internship on a US site but term year is missing or the SWE/ML signal is weaker than the 2027 keep set. Prefer later.,board_fields,program_end,,,,,,
