"decision","company","role","url","source","track","work_model","location","posted_relative","fetched_at","suggested_lane","suggested_cluster","confidence","reason","evidence_basis","grad_display_hint","user_confirm"
"later","Atmos Energy","Sr Applications Developer","https://jobright.ai/jobs/info/6a6a770748355b3f12bf1211","jobright_matches","","","","","2026-07-29T22:01:00+00:00","broad","cloud_swe","medium","fit_priority: target-adjacent development role, but seniority and work-mode/start evidence are incomplete.","board_fields","n/a",""
"later","California Lottery","Information Technology Specialist II - Senior Software Developer & Administrator","https://jobright.ai/jobs/info/6a6a76e48693c23e7fb7ae2a","jobright_matches","","","","","2026-07-29T22:01:00+00:00","broad","cloud_swe","medium","fit_priority: software role is relevant, but senior scope and blank work-mode/start fields make it lower priority.","board_fields","n/a",""
"keep","Cisco","Software Engineer Backend/Platform Systems I (Full Time) – United States","https://jobright.ai/jobs/info/6a6a76d148355b3f12bf120a","jobright_matches","","","","","2026-07-29T22:01:00+00:00","core","cloud_swe","medium","fit_priority: entry-level backend/platform SWE is a core target; work mode and start timing are not supplied and need review.","board_fields","program_end",""
"later","Computerworld","Software Developer / Application & Web Support Lead","https://jobright.ai/jobs/info/6a6a772d48355b3f12bf1215","jobright_matches","","","","","2026-07-29T22:01:00+00:00","broad","cloud_swe","medium","fit_priority: development is relevant, but lead/support framing and missing work-mode/start evidence lower priority.","board_fields","n/a",""
"skip","Faire","Product Lead, Data, ML, & AI Platform","https://jobright.ai/jobs/info/6a6a621316c69119640fe016","jobright_matches","","","","","2026-07-29T22:01:00+00:00","broad","data_ml","high","non_target_role: product-lead role is not an SWE, data, ML engineering, or AI-infrastructure individual-contributor target.","board_fields","n/a",""
"later","Gwinnett County Public Schools","Technology And Innovation - Internship - Data Analyst - Business Solutions","https://jobright.ai/jobs/info/6a6a778d48355b3f12bf1227","jobright_matches","","","","","2026-07-29T22:01:00+00:00","broad","data_ml","medium","fit_priority + intern_ok: light business analytics is adjacent, and internship term/work mode are not supplied.","board_fields","n/a",""
"later","Netradyne","Founding Product Engineer","https://jobright.ai/jobs/info/6a6a76d019d76667a2abfd5e","jobright_matches","","","","","2026-07-29T22:01:00+00:00","broad","cloud_swe","medium","fit_priority: engineering fit is plausible, but founding scope may require senior experience and evidence is thin.","board_fields","n/a",""
"later","Noblesoft Technologies","Python Developer","https://jobright.ai/jobs/info/6a6a77b416c69119640fe892","jobright_matches","","","","","2026-07-29T22:01:00+00:00","broad","data_ml","medium","fit_priority: generic Python development is relevant but lacks level, location, work-mode, and start evidence.","board_fields","n/a",""
"later","Publicis Canada","Software Engineer 2","https://jobright.ai/jobs/info/6a6a77b7c63ba56308f53649","jobright_matches","","","","","2026-07-29T22:01:00+00:00","broad","cloud_swe","medium","fit_priority: SWE is relevant, but level and US location/work-mode/start eligibility are not established by board fields.","board_fields","n/a",""
"skip","Tarleton State University","Talent Acquisition Specialist","https://jobright.ai/jobs/info/6a6a77bec63ba56308f5364a","jobright_matches","","","","","2026-07-29T22:01:00+00:00","practice","cloud_swe","high","non_target_role: talent acquisition is outside SWE, data, ML, and AI-infrastructure targets.","board_fields","n/a",""
"later","VForce Infotech","Senior Insurance Data Analytics & BI Engineer","https://jobright.ai/jobs/info/6a6a77ce16c69119640fe89c","jobright_matches","","","","","2026-07-29T22:01:00+00:00","broad","data_ml","medium","fit_priority: data/BI is adjacent, but seniority, light-analytics emphasis, and missing work-mode/start evidence lower priority.","board_fields","n/a",""
"later","Walmart","(USA) Senior, Software Engineer, Data Engineering","https://jobright.ai/jobs/info/6a6a771e48355b3f12bf1213","jobright_matches","","","","","2026-07-29T22:01:00+00:00","broad","data_ml","medium","fit_priority: strong data-engineering domain, but explicit senior level makes this a stretch and evidence is incomplete.","board_fields","n/a",""
"keep","Western Governors University","Software Engineer","https://jobright.ai/jobs/info/6a6a774616c69119640fe876","jobright_matches","","","","","2026-07-29T22:01:00+00:00","broad","cloud_swe","medium","fit_priority: direct SWE target worth review; work mode, level, location, and start timing are not supplied.","board_fields","program_end",""
"later","AgFirst Farm Credit Bank","ERP Technology Intern","https://jobright.ai/jobs/info/6a6a630d48355b3f12bf0abe","intern_list","internship_if_eligible","On Site","Columbia, SC, United States","1 hour ago","2026-07-29T22:01:12+00:00","broad","data_ml","medium","fit_priority + intern_ok: ERP/data tooling is adjacent and allows graduate students, but no 2027 term is shown.","board_fields","n/a",""
"skip","Availity","Software Engineer Intern","https://jobright.ai/jobs/info/6a6a600416c69119640fdf7c","intern_list","internship_if_eligible","Remote","United States","1 hour ago","2026-07-29T22:01:12+00:00","broad","cloud_swe","high","remote: board explicitly marks the role fully remote.","board_fields","n/a",""
"later","Cortina Solutions","Information Technology and Cybersecurity Intern","https://jobright.ai/jobs/info/6a67c2ca5d2a117fb9ced273","intern_list","internship_if_eligible","Hybrid","Huntsville, AL, United States","2 hours ago","2026-07-29T22:01:12+00:00","practice","cloud_swe","medium","fit_priority + hard_gate: adjacent cyber role; explicit HUBZone residency must be verified and no 2027 term is shown.","board_fields","n/a",""
"later","First Solar","Software Engineer Intern (1st Shift)","https://jobright.ai/jobs/info/6a56963c21f64463ad3557c4","intern_list","internship_if_eligible","On Site","Perrysburg, OH, United States","1 hour ago","2026-07-29T22:01:12+00:00","broad","cloud_swe","medium","intern_ok + traditional_student_coop: SWE fit is good, but the role must fulfill a degree requirement and no 2027 term is shown.","board_fields","n/a",""
"skip","First Solar","Software Engineer Intern (1st Shift) - Fall 2026","https://jobright.ai/jobs/info/6a6a336848355b3f12befabc","intern_list","internship_if_eligible","On Site","Perrysburg, OH, United States","1 hour ago","2026-07-29T22:01:12+00:00","broad","cloud_swe","high","start_date_conflict + timing_expired: title explicitly identifies a Fall 2026 internship.","board_fields","n/a",""
"later","General Dynamics Information Technology","Systems Engineer Intern","https://jobright.ai/jobs/info/6a6a632a0b42f866b6198684","intern_list","internship_if_eligible","On Site","Albany, NY, United States","1 hour ago","2026-07-29T22:01:12+00:00","broad","cloud_swe","medium","intern_ok + fit_priority: relevant systems/software coursework and graduate enrollment fit, but no 2027 term is shown.","board_fields","n/a",""
"later","Huawei Canada","Intern Researcher – AI Foundation Model Training","https://jobright.ai/jobs/info/6a57bd7821f64463ad35bbdb","intern_list","internship_if_eligible","On Site","Markham, CA, United States","2 hours ago","2026-07-29T22:01:12+00:00","core","data_ml","medium","fit_priority + intern_ok: excellent AI-infrastructure fit and Master's accepted, but term and the anomalous Markham location need verification.","board_fields","n/a",""
"skip","Intel","AI Software Engineering Intern","https://jobright.ai/jobs/info/6a6a51a719d76667a2abef95","intern_list","internship_if_eligible","Hybrid","Multi Locations: Folsom, CA, United States; Hillsboro, OR, United States; Phoenix, AZ, United States","2 hours ago","2026-07-29T22:01:12+00:00","core","data_ml","high","hard_gate: explicit 6–12 month part-time requirement while pursuing a BS conflicts with the candidate's Master's status and December 2026 program end.","board_fields","n/a",""
"later","Keysight Technologies","Software Engineering Intern","https://jobright.ai/jobs/info/6a6a586d0b42f866b6198281","intern_list","internship_if_eligible","On Site","Austin, TX, United States","2 hours ago","2026-07-29T22:01:12+00:00","broad","cloud_swe","medium","intern_ok + fit_priority: direct SWE title, but generic college-student wording and no 2027 term leave eligibility uncertain.","board_fields","n/a",""
"skip","Leidos","Data Science Intern","https://jobright.ai/jobs/info/6a6a62420b42f866b6198615","intern_list","internship_if_eligible","On Site","San Diego, CA, United States","1 hour ago","2026-07-29T22:01:12+00:00","broad","data_ml","high","hard_gate: board explicitly limits eligibility to a junior or senior pursuing a bachelor's degree; candidate is pursuing a Master's.","board_fields","n/a",""
