decision,company,role,url,source,track,work_model,location,posted_relative,fetched_at,suggested_lane,suggested_cluster,confidence,reason,evidence_basis,grad_display_hint,user_confirm
later,Applied Intuition,"Research Intern - Robotic Hardware, Simulation and Data",https://jobright.ai/jobs/info/6a55b6a2fdf4fa71202b3da0,intern_list,internship_if_eligible,On Site,"Sunnyvale, CA",1 day ago,2026-08-10T09:03:49-04:00,core,data_ml,medium,"[intern_ok, fit_priority] Strong robotics/ML research fit, but the internship cycle is not stated; timing evidence is incomplete.",board_fields,n/a,
later,"Baynovation, LLC",Data Scientist Intern,https://jobright.ai/jobs/info/6a72e0066ffeee418e5b78c5,intern_list,internship_if_eligible,On Site,"San Jose, CA",5 days ago,2026-08-10T09:03:49-04:00,core,data_ml,medium,"[intern_ok, hard_gate, fit_priority] Strong data-science fit, but the cycle is unstated and return-to-program eligibility after the internship is uncertain.",board_fields,n/a,
skip,Boeing,Boeing Summer 2027 Internship Program (Paid) – Data Analytics Intern,https://jobright.ai/jobs/info/6a764aeb67a1ad0bc53c9c19,intern_list,internship_if_eligible,Remote,United States,3 days ago,2026-08-10T09:03:49-04:00,core,data_ml,high,"[remote, hard_gate, intern_ok] Summer 2027 is in scope, but the role is fully remote and requires graduation on or after August 2027, matching neither verified date.",board_fields,n/a,
keep,ByteDance,Software Engineer Intern (AI Infra Compute) - 2027 Summer,https://jobright.ai/jobs/info/6a78919c67a1ad0bc53cdde4,intern_list,internship_if_eligible,On Site,"San Jose, CA",22 hours ago,2026-08-10T09:03:49-04:00,core,data_ml,high,"[intern_ok, fit_priority, dual_grad_dates] Explicit Summer 2027 AI-infrastructure internship with on-site ML inference/training fit.",board_fields,dual_date,
later,Cadence,Software Engineering Intern,https://jobright.ai/jobs/info/6a0601d16c07461fe171b476,intern_list,internship_if_eligible,On Site,"Pittsburgh, PA",19 hours ago,2026-08-10T09:03:49-04:00,core,data_ml,medium,"[intern_ok, fit_priority] Strong ML/NLP software fit, but no 2027 internship cycle is stated; timing evidence is incomplete.",board_fields,n/a,
later,Cadence,Software Engineering Intern,https://jobright.ai/jobs/info/6a554497ae07d60a8d010064,intern_list,internship_if_eligible,On Site,"Pittsburgh, PA",19 hours ago,2026-08-10T09:03:49-04:00,core,data_ml,medium,"[intern_ok, fit_priority] Strong ML/NLP software fit, but no 2027 internship cycle is stated; timing evidence is incomplete.",board_fields,n/a,
skip,Capital One,Current Master's - Data Science Internship - Summer 2027,https://jobright.ai/jobs/info/6a5e1efa050c423c792ed587,intern_list,internship_if_eligible,Hybrid,"McLean, VA; Cambridge, MA; Chicago, IL; Richmond, VA; Plano, TX; San Francisco, CA; San Jose, CA; New York, NY",2 days ago,2026-08-10T09:03:49-04:00,core,data_ml,high,"[hard_gate, intern_ok] Summer 2027 is stated, but continuing in the same master's course afterward conflicts with the verified December 2026 program end.",board_fields,n/a,
skip,Chase,2027 Data for Good Hackathon - Data & AI Program - Summer Internship,https://jobright.ai/jobs/info/6a765b0867a1ad0bc53c9ff7,intern_list,internship_if_eligible,On Site,"Chicago, IL; Columbus, OH; Plano, TX; New York Metro, United States; Delaware Metro, United States",2 days ago,2026-08-10T09:03:49-04:00,core,data_ml,high,"[hard_gate, intern_ok] The explicit December 2027–August 2028 graduation window matches neither verified graduation date.",board_fields,n/a,
skip,Citadel,Machine Learning Researcher – PhD Intern (US),https://jobright.ai/jobs/info/6a449381ef17a815538a44cb,intern_list,internship_if_eligible,On Site,"New York, NY; Miami, FL; Houston, TX; Greenwich, CT",1 day ago,2026-08-10T09:03:49-04:00,practice,data_ml,high,[hard_gate] The board title and requirements explicitly make this a PhD internship.,board_fields,n/a,
skip,Cloudflare,Network Strategy Intern (Fall 2026),https://jobright.ai/jobs/info/6a3eccb7122f340d29cf4b78,intern_list,internship_if_eligible,On Site,"Austin, TX",1 day ago,2026-08-10T09:03:49-04:00,broad,data_ml,high,"[start_date_conflict, timing_expired] The title explicitly identifies a Fall 2026 internship cycle.",board_fields,n/a,
later,Copart,Software Engineering Intern,https://jobright.ai/jobs/info/6a700067c56c0956e8add782,intern_list,internship_if_eligible,On Site,"Dallas, TX",21 hours ago,2026-08-10T09:03:49-04:00,core,data_ml,medium,"[intern_ok, fit_priority] Strong LLM/RAG software fit, but no 2027 internship cycle is stated; timing evidence is incomplete.",board_fields,n/a,
skip,Delta Air Lines,"Graduate Intern, Data Scientist (Fall 2026)",https://jobright.ai/jobs/info/6a63d6aa87cef057612caebf,intern_list,internship_if_eligible,On Site,"Atlanta, GA",3 days ago,2026-08-10T09:03:49-04:00,core,data_ml,high,"[start_date_conflict, timing_expired] The title explicitly identifies a Fall 2026 internship cycle.",board_fields,n/a,
skip,Delta Air Lines,"Graduate Intern, Reservations (Data Science) - Fall 2026",https://jobright.ai/jobs/info/6a6b395facb0a61f9dbbfb6b,intern_list,internship_if_eligible,Hybrid,"Atlanta, GA",2 days ago,2026-08-10T09:03:49-04:00,core,data_ml,high,"[start_date_conflict, timing_expired] The title explicitly identifies a Fall 2026 internship cycle.",board_fields,n/a,
skip,EffiGov,Software Engineer Intern (Fall 2026),https://jobright.ai/jobs/info/6a78ff5ba26ccc369f839501,intern_list,internship_if_eligible,On Site,"San Francisco, CA",11 hours ago,2026-08-10T09:03:49-04:00,core,cloud_swe,high,"[start_date_conflict, timing_expired] The title explicitly identifies a Fall 2026 internship cycle.",board_fields,n/a,
