decision,company,role,url,source,track,work_model,location,posted_relative,fetched_at,suggested_lane,suggested_cluster,confidence,reason,evidence_basis,grad_display_hint,user_confirm,apply_url,apply_url_confidence,apply_ats,apply_matched_title,apply_resolve_evidence
skip,American Express,"Campus Undergraduate Summer Internship Program - 2027 Strategy & Analytics, Credit & Fraud Risk - New York, NY",https://jobright.ai/jobs/info/6a702d73cd3bac13d3709be2,intern_list,internship_if_eligible,On Site,"New York, NY",16 hours ago,2026-08-17T13:03:11+00:00,practice,data_ml,high,[hard_gate] Explicit graduation window starts December 2027 and matches neither December 2026 program completion nor March 2027 commencement.,board_fields,n/a,,,,,,
skip,American Express,"Campus Undergraduate Summer Internship Program - 2027 Strategy & Analytics, Credit & Fraud Risk - Phoenix, AZ",https://jobright.ai/jobs/info/6a702d63cd3bac13d3709be1,intern_list,internship_if_eligible,On Site,"Phoenix, AZ",1 day ago,2026-08-17T13:03:11+00:00,practice,data_ml,high,[hard_gate] Explicit graduation window starts December 2027 and matches neither December 2026 program completion nor March 2027 commencement.,board_fields,n/a,,,,,,
later,Arevon,"Data Science Intern, Interconnection & Transmission",https://jobright.ai/jobs/info/6a7f8ec519ce4e6e9d939330,intern_list,internship_if_eligible,Hybrid,"Scottsdale, AZ",2 days ago,2026-08-17T13:03:11+00:00,broad,data_ml,medium,"[intern_ok, fit_priority] Relevant or adjacent internship, but board fields do not state a 2027 term; timing/return-to-school eligibility needs verification.",board_fields,n/a,,,,,,
skip,Azul,Marketing AI Intern,https://jobright.ai/jobs/info/6a82bbb31081a745e970b453,intern_list,internship_if_eligible,Remote,United States,5 hours ago,2026-08-17T13:03:11+00:00,practice,data_ml,high,[remote] Board work_model explicitly says Remote; fully remote roles are out of scope.,board_fields,n/a,,,,,,
skip,Azul,Marketing AI Intern,https://jobright.ai/jobs/info/6a82b5003eeac101cfa9bcb2,intern_list,internship_if_eligible,Remote,United States,5 hours ago,2026-08-17T13:03:11+00:00,practice,data_ml,high,[remote] Board work_model explicitly says Remote; fully remote roles are out of scope.,board_fields,n/a,,,,,,
skip,Bombardier,Mechanical Engineer Intern,https://jobright.ai/jobs/info/6a63b09ce8d8d22e3292a168,intern_list,internship_if_eligible,On Site,"Wichita, KS",1 day ago,2026-08-17T13:03:11+00:00,practice,data_ml,high,[non_target_role] Mechanical engineering internship is outside SWE/data/ML/AI targets.,board_fields,n/a,,,,,,
skip,ByteDance,Research Scientist Intern (Video Quality Analysis & Coding Strategy) - 2027 Start (PhD),https://jobright.ai/jobs/info/6a8193e8e51a1e18a241f535,intern_list,internship_if_eligible,On Site,"San Jose, CA",1 day ago,2026-08-17T13:03:11+00:00,practice,data_ml,high,[hard_gate] Board title/requirements explicitly make this PhD-only; candidate degree is an SM.,board_fields,n/a,,,,,,
keep,ByteDance,Site Reliability Engineer Intern (Data Infra) - 2027 Summer,https://jobright.ai/jobs/info/6a82c95e3eeac101cfa9c034,intern_list,internship_if_eligible,On Site,"San Jose, CA",1 hour ago,2026-08-17T13:03:11+00:00,core,cloud_swe,high,"[intern_ok, dual_grad_dates, fit_priority] Explicit 2027 internship with strong SWE/data/ML fit and no incompatible board-field gate.",board_fields,dual_date,,,none,,,
keep,ByteDance,Software Engineer Intern (Global Payment) - 2027 Summer,https://jobright.ai/jobs/info/6a82c962379c304e892f36a3,intern_list,internship_if_eligible,On Site,"San Jose, CA",1 hour ago,2026-08-17T13:03:11+00:00,core,cloud_swe,high,"[intern_ok, dual_grad_dates, fit_priority] Explicit 2027 internship with strong SWE/data/ML fit and no incompatible board-field gate.",board_fields,dual_date,,,none,,,
later,Copart,Software Engineering Intern,https://jobright.ai/jobs/info/6a7a4a43a26ccc369f83dad3,intern_list,internship_if_eligible,On Site,"Dallas, TX",20 hours ago,2026-08-17T13:03:11+00:00,broad,cloud_swe,medium,"[intern_ok, fit_priority] Relevant or adjacent internship, but board fields do not state a 2027 term; timing/return-to-school eligibility needs verification.",board_fields,n/a,,,,,,
later,Crowe,Data Consultant Intern,https://jobright.ai/jobs/info/6a7f63bae2030208f276daaa,intern_list,internship_if_eligible,On Site,"Chicago, IL",2 days ago,2026-08-17T13:03:11+00:00,broad,data_ml,medium,"[intern_ok, fit_priority] Relevant or adjacent internship, but board fields do not state a 2027 term; timing/return-to-school eligibility needs verification.",board_fields,n/a,,,,,,
