decision,company,role,url,source,track,work_model,location,posted_relative,fetched_at,suggested_lane,suggested_cluster,confidence,reason,evidence_basis,grad_display_hint,user_confirm,apply_url,apply_url_confidence,apply_ats,apply_matched_title,apply_resolve_evidence
later,Albertsons Companies,Principal Data Scientist,https://jobright.ai/jobs/info/6a877934e8b6601d12903c89,jobright_matches,,,,,2026-08-20T18:02:47-04:00,broad,data_ml,medium,fit_priority: Principal seniority is above the new-grad target; work_model/location blank so evidence is incomplete.,board_fields,n/a,,,,,,
later,Aurora,Staff Software Engineer - Core Services,https://jobright.ai/jobs/info/6a87232ad34f700f87fc3a9c,jobright_matches,,,,,2026-08-20T18:02:47-04:00,broad,cloud_swe,medium,fit_priority: Staff SWE is above the new-grad target; work_model/location blank so evidence is incomplete.,board_fields,n/a,,,,,,
later,Brighton Collectibles,Data Engineer,https://jobright.ai/jobs/info/6a8778c6e8b6601d12903c6c,jobright_matches,,,,,2026-08-20T18:02:47-04:00,broad,data_ml,medium,"fit_priority: data-engineer title is in-cluster, but Matches fields have no work_model, location, or start window.",board_fields,n/a,,,,,,
later,CertainTeed,Lead Master Data Analyst,https://jobright.ai/jobs/info/6a877813e8b6601d12903c57,jobright_matches,,,,,2026-08-20T18:02:47-04:00,practice,data_ml,medium,"fit_priority: Lead master-data analyst is light analytics / seniority, not core SWE/ML; Matches evidence incomplete.",board_fields,n/a,,,,,,
keep,Decagon,Agent Data Scientist,https://jobright.ai/jobs/info/6a8717384afae74a0834690b,jobright_matches,,,,,2026-08-20T18:02:47-04:00,core,data_ml,medium,fit_priority: Agent Data Scientist matches emerging agents interest; work_model blank so remote is not assumed.,board_fields,dual_date,,https://jobs.ashbyhq.com/decagon/5433ff3a-9a7c-406b-9dd8-23094141b907,exact,ashby,Agent Data Scientist,title overlap 1.00 on ashby board 'decagon' (136 postings)
later,General Dynamics Mission Systems,Front-End GAIAA Software Engineer,https://jobright.ai/jobs/info/6a877732cde3717f9e9b245d,jobright_matches,,,,,2026-08-20T18:02:47-04:00,practice,cloud_swe,medium,fit_priority: generic front-end SWE; Matches fields have no work_model/location.,board_fields,n/a,,,,,,
later,JMT,Transit Operations Application Developer,https://jobright.ai/jobs/info/6a8778aa25fc4e7ae3dad711,jobright_matches,,,,,2026-08-20T18:02:47-04:00,broad,cloud_swe,medium,"fit_priority: application-developer title is adjacent, not a core cloud/ML cluster role; Matches evidence incomplete.",board_fields,n/a,,,,,,
keep,"Lowe's Companies, Inc.",Software Engineer - ML,https://jobright.ai/jobs/info/6a877848cde3717f9e9b248d,jobright_matches,,,,,2026-08-20T18:02:47-04:00,core,data_ml,medium,fit_priority: Software Engineer - ML is a core data_ml fit; work_model blank so remote is not assumed.,board_fields,dual_date,,,none,,,
later,MANTECH,Senior Software Developer,https://jobright.ai/jobs/info/6a0b7ad322d0d34036c8ccc7,jobright_matches,,,,,2026-08-20T18:02:47-04:00,broad,cloud_swe,medium,fit_priority: Senior Software Developer is above the new-grad target; Matches evidence incomplete.,board_fields,n/a,,,,,,
later,Principal México,Experienced Software Engineer (Hybrid),https://jobright.ai/jobs/info/6a87793fe8b6601d12903c91,jobright_matches,,,,,2026-08-20T18:02:47-04:00,broad,cloud_swe,medium,fit_priority: Experienced SWE and a Mexico-branded employer are off the US new-grad target; Matches evidence incomplete.,board_fields,n/a,,,,,,
