decision,company,role,url,source,track,work_model,location,posted_relative,fetched_at,suggested_lane,suggested_cluster,confidence,reason,evidence_basis,grad_display_hint,user_confirm,apply_url,apply_url_confidence,apply_ats,apply_matched_title,apply_resolve_evidence
later,AMD,2027 Masters Data Analyst Intern/co-op,https://jobright.ai/jobs/info/6a87955125fc4e7ae3dadd82,intern_list,internship_if_eligible,Hybrid,"Santa Clara, CA; San Jose, CA",1 day ago,2026-08-23T13:03:19+00:00,broad,data_ml,medium,"intern_ok + fit_priority: 2027 masters data-analyst co-op is on-cycle but light analytics; board also requires enrollment through the intern term, which is uncertain after Dec 2026 program end.",board_fields,n/a,,,,,,
skip,AMD,2027 Undergrad Data Analyst Intern/co-op,https://jobright.ai/jobs/info/6a879559e8b6601d1290431d,intern_list,internship_if_eligible,Hybrid,"Santa Clara, CA; San Jose, CA",10 hours ago,2026-08-23T13:03:19+00:00,practice,data_ml,high,hard_gate: board requires current enrollment in an undergraduate program; that window matches neither Dec 2026 master's completion nor March 2027 commencement.,board_fields,n/a,,,,,,
skip,American Express,"Campus Graduate Masters Summer Internship Program - 2027 AI Engineer, Enterprise Technology Services- Atlanta, GA",https://jobright.ai/jobs/info/6a839b3a1081a745e971064a,intern_list,internship_if_eligible,Hybrid,"Phoenix, AZ; Atlanta, GA",10 hours ago,2026-08-23T13:03:19+00:00,practice,data_ml,high,hard_gate: explicit master's graduation window December 2027–June 2028 matches neither real date.,board_fields,n/a,,,,,,
skip,American Express,"Campus Graduate Masters Summer Internship Program - 2027 AI Engineer, Enterprise Technology Services- Sunrise, FL",https://jobright.ai/jobs/info/6a837a573eeac101cfaa0329,intern_list,internship_if_eligible,Hybrid,"Phoenix, AZ; Sunrise, FL",10 hours ago,2026-08-23T13:03:19+00:00,practice,data_ml,high,hard_gate: explicit master's graduation window December 2027–June 2028 matches neither real date.,board_fields,n/a,,,,,,
skip,American Express,"Campus Undergraduate Summer Internship Program - 2027 AI Engineer I, Enterprise Technology Services- Phoenix, AZ",https://jobright.ai/jobs/info/6a839b0a2dbaf907b0769e26,intern_list,internship_if_eligible,Hybrid,"Phoenix, AZ",10 hours ago,2026-08-23T13:03:19+00:00,practice,data_ml,high,hard_gate: undergraduate enrollment plus December 2027–June 2028 graduation window matches neither real date.,board_fields,n/a,,,,,,
skip,American Express,"Campus Undergraduate Summer Internship Program - 2027 AI Engineer, Enterprise Technology Services- Sunrise, FL",https://jobright.ai/jobs/info/6a8390f9b5a0ac0e84a26d7f,intern_list,internship_if_eligible,Hybrid,"Phoenix, AZ; Sunrise, FL",10 hours ago,2026-08-23T13:03:19+00:00,practice,data_ml,high,hard_gate: undergraduate enrollment plus December 2027–June 2028 graduation window matches neither real date.,board_fields,n/a,,,,,,
skip,American Express,"Campus Undergraduate Summer Internship Program - 2027 Data Analytics, Global Servicing- New York, NY",https://jobright.ai/jobs/info/6a8473a558ded76ad8fe738d,intern_list,internship_if_eligible,Hybrid,"New York, NY",10 hours ago,2026-08-23T13:03:19+00:00,practice,data_ml,high,hard_gate: undergraduate enrollment plus December 2027–June 2028 graduation window matches neither real date.,board_fields,n/a,,,,,,
keep,Blackstone,2027 Data Science Summer Analyst,https://jobright.ai/jobs/info/6a886a82680f314a29d3bd64,intern_list,internship_if_eligible,On Site,"New York, NY",1 day ago,2026-08-23T13:03:19+00:00,core,data_ml,medium,intern_ok + fit_priority: 2027 data-science summer analyst; no exclusive graduation window on board text.,board_fields,program_end,,,none,,,
skip,ByteDance,Research Intern (AI Infra Compute) - 2027 Start (PhD),https://jobright.ai/jobs/info/6a703822ae4c9d09d2e68d2a,intern_list,internship_if_eligible,On Site,"Seattle, WA",16 hours ago,2026-08-23T13:03:19+00:00,practice,cloud_swe,high,hard_gate: board requires currently pursuing a PhD.,board_fields,n/a,,,,,,
keep,ByteDance,Software Engineer Intern (AI Infra Compute) - 2027 Summer,https://jobright.ai/jobs/info/6a89b567680f314a29d3f4a5,intern_list,internship_if_eligible,On Site,"San Jose, CA",22 hours ago,2026-08-23T13:03:19+00:00,core,cloud_swe,high,intern_ok + fit_priority: Summer 2027 AI-infra SWE intern; master's-eligible; strong AI infra/inference fit.,board_fields,program_end,,,none,,,
