decision,company,role,url,source,track,work_model,location,posted_relative,fetched_at,suggested_lane,suggested_cluster,confidence,reason,evidence_basis,grad_display_hint,user_confirm
later,Compass,Senior Software Engineer,https://jobright.ai/jobs/info/6a5f7f826e0c3c7c7d3d72b8,jobright_matches,,,,,2026-07-30T22:02:35+00:00,broad,cloud_swe,medium,"[fit_priority] Senior SWE match lacks entry-level, timing, location, and work-model evidence.",board_fields,n/a,
later,ICON,"Senior Software Engineer, Data",https://jobright.ai/jobs/info/6a6bc76d5c54bc4752ceaf38,jobright_matches,,,,,2026-07-30T22:02:35+00:00,broad,data_ml,medium,[fit_priority] Senior data-SWE role is relevant but not aligned to entry-level targeting; board evidence is sparse.,board_fields,n/a,
later,Innovative Defense Technologies (IDT),Software Engineer - JobID-0207,https://jobright.ai/jobs/info/6a433267c8bca56ab224666a,jobright_matches,,,,,2026-07-30T22:02:35+00:00,broad,cloud_swe,medium,"[fit_priority] SWE title fits, but level, timing, location, and work model are missing.",board_fields,n/a,
later,Johnson & Johnson Innovative Medicine,Senior AI/ML Engineer,https://jobright.ai/jobs/info/6a6bc84e32f9300c3a3e0d57,jobright_matches,,,,,2026-07-30T22:02:35+00:00,broad,data_ml,medium,"[fit_priority] Strong AI/ML domain, but the senior level and sparse board evidence lower priority.",board_fields,n/a,
later,Nash,Senior Data Scientist,https://jobright.ai/jobs/info/6a6bc9b9ca1f9338465fc67d,jobright_matches,,,,,2026-07-30T22:02:35+00:00,broad,data_ml,medium,"[fit_priority] Data science fits, but this is senior and board timing/work-model evidence is incomplete.",board_fields,n/a,
later,"Q1 Technologies, Inc.",Data Modeler,https://jobright.ai/jobs/info/6a6bc820acb0a61f9dbc2d1a,jobright_matches,,,,,2026-07-30T22:02:35+00:00,broad,data_ml,medium,"[fit_priority] Data modeling is adjacent, but level, timing, and work-model evidence are missing.",board_fields,n/a,
skip,Raas Infotek,Verification And Validation Engineer,https://jobright.ai/jobs/info/6a6bc89bacb0a61f9dbc2d30,jobright_matches,,,,,2026-07-30T22:02:35+00:00,practice,cloud_swe,high,[non_target_role] Verification and validation is QA-focused rather than target SWE/data/ML work.,board_fields,n/a,
skip,SA Technologies Inc.,Analyst/Developer (RPG/AS400 Programmer) III,https://jobright.ai/jobs/info/6a54f88aae07d60a8d00e06d,jobright_matches,,,,,2026-07-30T22:02:35+00:00,practice,cloud_swe,high,[non_target_role] Legacy RPG/AS400 Programmer III work is outside the prioritized SWE/cloud/AI path.,board_fields,n/a,
later,Summit School Services LLC,Data Analyst,https://jobright.ai/jobs/info/6a6bc7e3ca1f9338465fc622,jobright_matches,,,,,2026-07-30T22:02:35+00:00,broad,data_ml,medium,[fit_priority] Generic data analyst role is relevant but light and board evidence is sparse.,board_fields,n/a,
skip,T-Mobile,"Sr Manager, AI Strategy - GenAI Platforms & Chatbot Products",https://jobright.ai/jobs/info/6a6bc75eacb0a61f9dbc2cea,jobright_matches,,,,,2026-07-30T22:02:35+00:00,practice,data_ml,high,[non_target_role] Senior AI strategy management is not an entry-level technical SWE/data/ML role.,board_fields,n/a,
later,A Igreja de Jesus Cristo dos Santos dos Últimos Dias,Data Scientist - Paid Intern,https://jobright.ai/jobs/info/6a6baba857120971bf3a82e9,intern_list,internship_if_eligible,On Site,"Salt Lake City, UT",2 hours ago,2026-07-30T22:02:48+00:00,practice,data_ml,medium,"[hard_gate, fit_priority] Data work fits, but the explicit church-membership gate is unresolved and timing is unspecified.",board_fields,n/a,
later,AARP,Data Science and Advanced Analytics Intern,https://jobright.ai/jobs/info/6a310d0feace377055eb84d9,intern_list,internship_if_eligible,Hybrid,"Washington, DC",2 days ago,2026-07-30T22:02:48+00:00,broad,data_ml,medium,"[intern_ok, fit_priority] Relevant analytics internship, but no explicit 2027 term makes timing uncertain.",board_fields,n/a,
later,AARP,Data Science and Advanced Analytics Intern,https://jobright.ai/jobs/info/6a61f2afab14335fc0f1ac95,intern_list,internship_if_eligible,Hybrid,"Washington, DC",2 days ago,2026-07-30T22:02:48+00:00,broad,data_ml,medium,"[intern_ok, fit_priority] Relevant analytics internship, but no explicit 2027 term makes timing uncertain.",board_fields,n/a,
skip,Amazon,Software Development Engineer Internship - Fall 2026 (US),https://jobright.ai/jobs/info/69fbef54c39b9a66c0c55443,intern_list,internship_if_eligible,On Site,"Seattle, WA",1 hour ago,2026-07-30T22:02:48+00:00,practice,cloud_swe,high,"[start_date_conflict, timing_expired] The role is explicitly a Fall 2026 internship.",board_fields,n/a,
later,Bluebono,Product & Data Science Intern,https://jobright.ai/jobs/info/6a6b91c1acb0a61f9dbc197b,intern_list,internship_if_eligible,On Site,"Los Angeles, CA; Pasadena, CA",4 hours ago,2026-07-30T22:02:48+00:00,core,data_ml,medium,"[intern_ok, fit_priority] Strong data/AI fit, but the internship has no explicit 2027 cycle.",board_fields,n/a,
later,Brilent,Data Scientist Intern,https://jobright.ai/jobs/info/6a589a630304e26a7e7e702b,intern_list,internship_if_eligible,On Site,"San Mateo, CA",5 days ago,2026-07-30T22:02:48+00:00,core,data_ml,medium,"[intern_ok, fit_priority] Strong data science fit, but the internship term is not stated as 2027.",board_fields,n/a,
skip,ByteDance,Machine Learning Engineer Intern (E-commerce Governance Algorithms) - 2026 Start (PhD),https://jobright.ai/jobs/info/6a6b0e4b32f9300c3a3dc892,intern_list,internship_if_eligible,On Site,"Seattle, WA",9 hours ago,2026-07-30T22:02:48+00:00,practice,data_ml,high,"[start_date_conflict, timing_expired, hard_gate] Explicit 2026 start and PhD-only requirement are incompatible.",board_fields,n/a,
skip,ByteDance,Research Scientist Intern - Multimodal Sensing & On-Device Perception - Global Frontier Tech Recruitment Program - 2027 Start (PHD),https://jobright.ai/jobs/info/6a50e93b8d7d3e6cf1cbd52a,intern_list,internship_if_eligible,On Site,"San Jose, CA",13 hours ago,2026-07-30T22:02:48+00:00,practice,data_ml,high,[hard_gate] The 2027 research internship explicitly requires a current PhD.,board_fields,n/a,
skip,ByteDance,Software Engineer Project Intern (Network Security) - 2026 Start (BS/MS),https://jobright.ai/jobs/info/6a5909e14da96a42cfd8eb58,intern_list,internship_if_eligible,On Site,"San Jose, CA",3 hours ago,2026-07-30T22:02:48+00:00,practice,data_ml,high,"[start_date_conflict, timing_expired] The role requires a 12-week commitment in 2026.",board_fields,n/a,
skip,CALSTART,Data Analysis Intern,https://jobright.ai/jobs/info/6a6bb36ac00ae03109f85745,intern_list,internship_if_eligible,Remote,United States,1 hour ago,2026-07-30T22:02:48+00:00,practice,data_ml,high,[remote] Board work model is explicitly Remote.,board_fields,n/a,
