decision,company,role,url,source,track,work_model,location,posted_relative,fetched_at,suggested_lane,suggested_cluster,confidence,reason,evidence_basis,grad_display_hint,user_confirm,apply_url,apply_url_confidence,apply_ats,apply_matched_title,apply_resolve_evidence
later,AMD,2027 Masters Software Test Engineering Intern/Co-Op,https://jobright.ai/jobs/info/6a8d3e2025fc4e7ae3dbb96b,jobright_matches,,,,,2026-09-04T22:02:06+00:00,practice,cloud_swe,medium,"intern_ok + fit_priority: 2027 Masters test-engineering intern/co-op is QA-adjacent, not core SWE/ML.",board_fields,program_end,,,,,,
keep,Adobe,2027 Intern - Software Engineer,https://jobright.ai/jobs/info/6a99bd37ad752e2ad55018ea,jobright_matches,,,,,2026-09-04T22:02:06+00:00,core,cloud_swe,high,"intern_ok + fit_priority: explicit 2027 SWE intern. work_model/location blank — evidence incomplete, not assumed remote.",board_fields,program_end,,,none,,,
keep,Apple,Applied AI/ML Software Engineer,https://jobright.ai/jobs/info/6a9b2a5d1388387060596e2c,jobright_matches,,,,,2026-09-04T22:02:06+00:00,core,data_ml,medium,"fit_priority: Applied AI/ML SWE. work_model/location blank — evidence incomplete, not assumed remote.",board_fields,program_end,,,none,,,
keep,Cisco,"Software Engineer, IQ Platform Infrastructure",https://jobright.ai/jobs/info/6a9b3f7090a313642c6595a5,jobright_matches,,,,,2026-09-04T22:02:06+00:00,core,cloud_swe,medium,"fit_priority: platform/infrastructure SWE. work_model/location blank — evidence incomplete, not assumed remote.",board_fields,program_end,,,none,,,
keep,Delta Air Lines,"Intern, Innovation - AI Engineering (Spring 2027)",https://jobright.ai/jobs/info/6a7f61d319ce4e6e9d93761e,jobright_matches,,,,,2026-09-04T22:02:06+00:00,core,data_ml,high,intern_ok + fit_priority: Spring 2027 AI engineering intern. Available after 2026-12-18 program end.,board_fields,program_end,,,none,,,
later,Fervo Energy,Software Engineering Internship (Strategy),https://jobright.ai/jobs/info/6a9b197cd5ff1f3f1c39da60,jobright_matches,,,,,2026-09-04T22:02:06+00:00,broad,cloud_swe,medium,intern_ok + fit_priority: SWE intern but Strategy framing and no explicit 2027 term on the board.,board_fields,either,,,,,,
later,GE HealthCare,Edison Engineering Development Program Intern – Software,https://jobright.ai/jobs/info/6a96d619e4e60e4b8da5a236,jobright_matches,,,,,2026-09-04T22:02:06+00:00,broad,cloud_swe,medium,intern_ok + fit_priority: Edison rotational intern; no explicit 2027 term on the board.,board_fields,either,,,,,,
keep,General Dynamics Mission Systems,Entry Level Software Engineer,https://jobright.ai/jobs/info/6a9b3ee8fe45b8490f60796c,jobright_matches,,,,,2026-09-04T22:02:06+00:00,broad,cloud_swe,medium,fit_priority + export_compliance: entry-level SWE. ITAR/export not a skip. work_model/location blank.,board_fields,program_end,,,none,,,
keep,Manulife,Summer Intern 2027 - AI,https://jobright.ai/jobs/info/6a9080397c32860d14cf9bba,jobright_matches,,,,,2026-09-04T22:02:06+00:00,core,data_ml,high,intern_ok + fit_priority: Summer 2027 AI intern. work_model/location blank — evidence incomplete.,board_fields,program_end,,,none,,,
skip,NT Concepts,Senior / SME Software Developer – Java / Python,https://jobright.ai/jobs/info/6a9b0367fe45b8490f606690,jobright_matches,,,,,2026-09-04T22:02:06+00:00,broad,cloud_swe,high,non_target_role: Senior/SME title is outside new-grad/entry SWE targets.,board_fields,n/a,,,,,,
