Job Title,Company Name,Location,Job URL,Applied Date,Status,Status Date,Archived,Date Archived,Notes,job_type
Machine Learning Engineer,Hive,"Seattle, WA, USA",https://jobs.lever.co/hive/a06ede4e-46e3-40c8-b2e6-69af1658ab50/apply,N/A,SAVED,2026-08-25,No,N/A,,Full-time
ML Infrastructure Engineer,AppLovin,"Palo Alto, CA, USA",https://boards.greenhouse.io/applovin/jobs/4655740006,2026-08-25,APPLIED,2026-08-25,No,N/A,,Full-time
Software Engineer,Tenstorrent,"Austin, TX, USA | Santa Clara, CA, USA | Toronto, ON, Canada",https://job-boards.greenhouse.io/tenstorrent/jobs/5023673007,2026-08-25,APPLIED,2026-08-25,No,N/A,,Full-time
Founding AI Engineer,Clera,"San Francisco, CA, USA",https://jobs.ashbyhq.com/clera/3dc0a0f6-6a53-4a8c-bc70-b007113c348a/application?embed=true,2026-08-25,APPLIED,2026-08-25,No,N/A,,Full-time
Artificial Intelligence/Machine Learning Intern,Kodiak Robotics,"Mountain View, CA, USA",https://job-boards.greenhouse.io/kodiak/jobs/4377407009,2026-08-25,APPLIED,2026-08-25,No,N/A,,Internship
2027 Machine Learning Summer Internship,Advanced Space,"Westminster, CO",https://job-boards.greenhouse.io/advancedspace/jobs/4324875009/confirmation?gh_src=Simplify,2026-08-25,APPLIED,2026-08-25,No,N/A,,Full-time
Software Engineer,Lightfield,"San Francisco, CA, USA",https://jobs.ashbyhq.com/Lightfield/fc93a467-773d-4805-b342-bf470950732d/application?embed=true,2026-08-25,APPLIED,2026-08-25,No,N/A,,Full-time
Forward Deployed Finance Partner,Runway,Remote in USA,https://jobs.ashbyhq.com/Runway/82789f66-9216-4ef3-bfeb-6cef4b416e63/application?embed=true,2026-08-25,APPLIED,2026-08-25,No,N/A,,Full-time
Forward Deployed AI Engineer,Charta Health,"New York, NY, USA | San Francisco, CA, USA",https://jobs.ashbyhq.com/chartahealth/3088555d-de93-4236-add1-41005bf0933b/application?embed=true,2026-08-25,APPLIED,2026-08-25,No,N/A,,Full-time
Forward Deployed Finance Partner,Runway,Remote in USA,https://jobs.ashbyhq.com/Runway/82789f66-9216-4ef3-bfeb-6cef4b416e63/application?embed=true,2026-08-24,APPLIED,2026-08-24,No,N/A,,Full-time
QA Analyst,Midjourney,"New York, NY, USA | San Francisco, CA, USA",https://jobs.ashbyhq.com/midjourney/68e8eed8-ba7e-4530-bee1-4baf3d368d55/application?embed=true,2026-08-24,APPLIED,2026-08-24,No,N/A,,Full-time
Infrastructure Intern,Meshy,"Sunnyvale, CA, USA",https://jobs.ashbyhq.com/meshy/c2f596a3-378c-4a57-b2cd-0bccd88866d7/application?embed=true,2026-08-24,APPLIED,2026-08-24,No,N/A,,Internship
Software Engineer,Anyscale,"San Francisco, CA, USA",https://jobs.ashbyhq.com/anyscale/73a973b1-6377-4144-a6e5-610b78719882/application?embed=true,2026-08-24,APPLIED,2026-08-24,No,N/A,,Full-time
Internship,Perplexity AI,"Belgrade | Belgrade, Serbia",https://jobs.ashbyhq.com/Perplexity/9246cf02-26fd-4ae8-90c5-639c6e85e9e2/application?embed=true,N/A,SAVED,2026-08-23,No,N/A,,Full-time
Software Engineer Intern,Notion,"New York, NY, USA | San Francisco, CA, USA",https://jobs.ashbyhq.com/notion/3fba1c39-c5cb-47d7-9ad2-1cec4d7e9d0c/application?embed=true,N/A,SAVED,2026-08-23,No,N/A,,Internship
AI Builder Intern,Scale AI,"San Francisco, CA, USA",https://job-boards.greenhouse.io/scaleai/jobs/4703343005,N/A,SAVED,2026-08-23,No,N/A,,Internship
AI Software Engineer,Relativity Space,"Long Beach, CA, USA",https://boards.greenhouse.io/relativity/jobs/8726261002,N/A,SAVED,2026-08-23,No,N/A,,Full-time
Forward Deployed AI Engineer,Charta Health,"New York, NY, USA | San Francisco, CA, USA",https://jobs.ashbyhq.com/chartahealth/3088555d-de93-4236-add1-41005bf0933b/application?embed=true,2026-08-24,APPLIED,2026-08-24,No,N/A,,Full-time
Software Engineer,Baseten,"Montreal, QC, Canada | New York, NY, USA | San Francisco, CA, USA | Toronto, ON, Canada",https://jobs.ashbyhq.com/baseten/fc6e5f2e-eb2d-4a6c-8a51-8422e8662bde/application?embed=true,N/A,SAVED,2026-08-23,No,N/A,,Full-time
Associate Data Scientist,Hayden AI,"San Francisco, CA, USA",https://jobs.ashbyhq.com/haydenai/6951fb04-478b-46f5-b918-123a69a28925/application?embed=true,N/A,SAVED,2026-08-23,No,N/A,,Full-time
Software Engineer 1,Lila Sciences,"Cambridge, MA, USA",https://job-boards.greenhouse.io/lilasciences/jobs/4186444009,N/A,SAVED,2026-08-23,No,N/A,,Full-time
Fullstack Engineer Intern,Meshy,"Sunnyvale, CA, USA",https://jobs.ashbyhq.com/meshy/262d74c7-8aab-474e-9fc6-8c8c48ec6572/application?embed=true,N/A,SAVED,2026-08-23,No,N/A,,Internship
Robotics Software Intern,Apptronik,"Austin, TX, USA",https://boards.greenhouse.io/apptronik/jobs/5985132004,N/A,SAVED,2026-08-22,No,N/A,,Internship
Design Developer,Gemini,"New York, NY, USA",https://boards.greenhouse.io/embed/job_app?for=gemini&token=7951195&gh_jid=7951195,N/A,SAVED,2026-08-22,No,N/A,,Full-time
Machine Learning Engineer Intern,Neuralink,"South San Francisco, CA, USA",https://boards.greenhouse.io/neuralink/jobs/6594261003,N/A,SAVED,2026-08-22,No,N/A,,Internship
Performance Modeling Engineer,OpenAI,"San Francisco, CA, USA | Seattle, WA, USA",https://jobs.ashbyhq.com/openai/19fc3e36-3bf3-4a7c-b65f-498d89220436/application?embed=true,N/A,SAVED,2026-08-22,No,N/A,,Full-time
AI Inference Engineer,Baseten,"Montreal, QC, Canada | New York, NY, USA | Remote in USA | San Francisco, CA, USA | Toronto, ON, Canada",https://jobs.ashbyhq.com/baseten/db6477fc-111a-4340-bf00-525fe023e6f3/application?embed=true,N/A,SAVED,2026-08-16,No,N/A,,Full-time
Database Engineer,Appian,"McLean, VA, USA",https://job-boards.greenhouse.io/appian/jobs/8088282,N/A,SAVED,2026-08-16,No,N/A,,Full-time
Performance Modeling Engineer,OpenAI,"San Francisco, CA, USA | Seattle, WA, USA",https://jobs.ashbyhq.com/openai/4f6be73e-9a1d-4ec6-8b0e-b2af0b4becfb/application?embed=true,N/A,SAVED,2026-07-31,No,N/A,,Full-time
Software Engineer,Traba,"New York, NY, USA",https://jobs.ashbyhq.com/traba/e1761ab2-21f1-46d6-8c69-9b4a73d9430f/application?embed=true,N/A,SAVED,2026-07-31,No,N/A,,Full-time
Inference Architecture Intern,Etched,"San Jose, CA, USA",https://jobs.ashbyhq.com/Etched/6f23713f-5409-45b7-aae8-adb8710cdbc3/application?embed=true,N/A,SAVED,2026-07-31,No,N/A,,Internship
AI/Software Engineer Intern,Bild AI,"San Francisco, CA, USA",https://jobs.ashbyhq.com/bild-ai/b333f0f7-0ca6-4509-8697-9303396b5364/application?embed=true,N/A,SAVED,2026-07-31,No,N/A,,Internship
AI Software Engineer Intern,Nirmata,"San Jose, Hybrid",https://job-boards.greenhouse.io/nirmata/jobs/4606513008,N/A,SAVED,2026-07-31,No,N/A,,Full-time
Software Engineer Intern,Apptronik,"Austin, TX, USA",https://boards.greenhouse.io/apptronik/jobs/6128057004,N/A,SAVED,2026-07-31,No,N/A,,Internship
Systems Research Engineer Intern,Together AI,"San Francisco, CA, USA",https://job-boards.greenhouse.io/togetherai/jobs/5157559007,N/A,SAVED,2026-07-31,No,N/A,,Internship
Firmware Engineer Intern,Neuralink,"South San Francisco, CA, USA",https://boards.greenhouse.io/neuralink/jobs/6648992003,N/A,SAVED,2026-07-31,No,N/A,,Internship
Software Engineer Intern,Gemini,"New York, NY, USA",https://boards.greenhouse.io/embed/job_app?for=gemini&token=7875125&gh_jid=7875125,N/A,SAVED,2026-07-31,No,N/A,,Internship
New Graduate Engineer,SpaceX,"West Athens, CA, USA",https://boards.greenhouse.io/spacex/jobs/8493079002,N/A,SAVED,2026-07-31,No,N/A,,Full-time
"Software Engineering Inter, MS, Summer 2027",Google,United States,https://www.google.com/about/careers/applications/dashboard,2026-07-24,APPLIED,2026-07-24,No,N/A,,Internship
"2027 Software Engineering Internship, Uber Career Prep",Uber,"San Francisco, CA, United States",https://iaziqy.fa.ocs.oraclecloud.com/hcmUI/CandidateExperience/en/sites/UberCareers/job/300697/apply/section/1/?jr_id=6a5e880e270e3033b045e811,2026-07-24,APPLIED,2026-07-24,No,N/A,,Internship
